event_id,event_group_id,event_name,event_date,event_type,programme_type,location_id,lead_educator_id,delivery_language,audience_type,delivery_format,demonstration_type,registration_required,registered_count,attended_count,engaged_people_count,engaged_boats_count,session_duration_minutes,satisfaction_score,engagement_level,challenge_category,improvement_category,weather_condition,data_source,is_estimated,event_status
EVT011,GRP010,Be Water Safe Presentation,2026-03-18,Presentation,Be Water Safe,LOC009,EDU001,English,Parents and Caregivers,Presentation,Lifejacket,true,26,23,23,,30,4.6,Medium,Limited Audience Interaction,Simpler Interactive Questions,,Reflection+Synthetic,true,Completed
EVT012,GRP011,Safer on the Water - Day 1,2026-03-21,Field Outreach,Boating Safety,LOC010,EDU002,English,Boat Users,Field Outreach,Lifejacket,false,,,16,7,240,,Medium,Low Boating Traffic,Attend During Peak Hours,Overcast,Reflection+Synthetic,true,Completed
EVT013,GRP011,Safer on the Water - Day 2,2026-03-22,Field Outreach,Boating Safety,LOC011,EDU005,English,Boat Users,Field Outreach,Lifejacket,false,,,24,11,240,,High,Short Public Conversations,Use a Consistent Opening Question,Clear,Reflection+Synthetic,true,Completed
EVT014,GRP012,Pacific Community Welcome Day,2026-03-28,Community Event,Water Safety Awareness,LOC012,EDU002,English/Samoan,Pasifika Families,Stall Engagement,Lifejacket,false,,,74,,300,,High,Limited Awareness of Services,Promote Lifejacket Hub Earlier,,Reflection+Synthetic,true,Completed
EVT015,GRP013,Community Health Day,2026-04-11,Health Event,Water Safety Awareness,LOC013,EDU002,English/Samoan,Pasifika Families,Stall Engagement,Lifejacket,false,,,41,,240,,Medium,Low Foot Traffic,More Interactive Activities,,Reflection+Synthetic,true,Completed
EVT016,GRP014,Be Water Safe Presentation,2026-04-21,Presentation,Be Water Safe,LOC009,EDU001,English,Parents and Caregivers,Presentation,Lifejacket,true,22,19,19,,25,4.5,Medium,Presentation Confidence,Rehearse Transitions,,Reflection+Synthetic,true,Completed
EVT017,GRP015,Community Health Day,2026-04-25,Health Event,Water Safety Awareness,LOC013,EDU002,English/Samoan,Samoan Community,Stall Engagement,None,false,,,28,,240,,Low,Low Attendance,More Interactive Activities,,Reflection+Synthetic,true,Completed
EVT018,GRP016,St John Pasifika Community Event,2026-04-29,Community Event,Water Safety Awareness,LOC014,EDU002,English/Samoan,Pasifika Families,Stall Engagement,Lifejacket,false,,,63,,270,,High,Competing Health Activities,Integrate Safety Demonstrations,,Reflection+Synthetic,true,Completed
EVT019,GRP017,Otara Samoan Methodist Church Session,2026-05-02,Community Presentation,Be Water Safe,LOC015,EDU002,English/Samoan,Church Community,Presentation,Lifejacket,true,34,31,31,,35,4.7,High,Language Accessibility,Use More Bilingual Materials,,Reflection+Synthetic,true,Completed
EVT020,GRP018,Be Water Safe Presentation,2026-05-05,Presentation,Be Water Safe,LOC024,EDU001,English,Community Learners,Presentation,Lifejacket,true,20,17,17,,25,4.4,Medium,Quiet Audience,Use Small-group Questions,,Reflection+Synthetic,true,Completed
EVT021,GRP019,Be Water Safe Presentation,2026-05-07,Presentation,Be Water Safe,LOC009,EDU001,English,ESOL Learners,Presentation,Lifejacket,true,24,21,21,,30,4.6,Medium,Limited Audience Interaction,Simpler Interactive Questions,,Reflection+Synthetic,true,Completed
EVT022,GRP020,Hutchwilco Boat Show - Day 1,2026-05-14,Trade Show,Water Safety Awareness,LOC016,EDU005,English,Families and Boat Users,Stall Engagement,Bystander Rescue,false,,,168,,480,,High,New Team Coordination,Clarify Demonstration Roles,,Reflection+Synthetic,true,Completed
EVT023,GRP020,Hutchwilco Boat Show - Day 2,2026-05-15,Trade Show,Water Safety Awareness,LOC016,EDU004,English,Families and Boat Users,Stall Engagement,Float First,false,,,214,,480,,High,Managing Peak Visitor Flow,Schedule Demonstration Times,,Reflection+Synthetic,true,Completed
EVT024,GRP020,Hutchwilco Boat Show - Day 3,2026-05-16,Trade Show,Water Safety Awareness,LOC016,EDU003,English,Families and Boat Users,Stall Engagement,Bystander Rescue,false,,,246,,480,,High,On-land Demonstration,Increase In-water Demonstrations,,Reflection+Synthetic,true,Completed
EVT025,GRP020,Hutchwilco Boat Show - Day 4,2026-05-17,Trade Show,Water Safety Awareness,LOC016,EDU001,English,Families and Boat Users,Stall Engagement,Huddle,false,,,176,,480,,High,On-land Demonstration,Increase In-water Demonstrations,,Reflection+Synthetic,true,Completed
EVT026,GRP021,Whau River Whakanui Day,2026-05-23,Community Event,Water Safety Awareness,LOC017,EDU005,English,Families and Paddlers,Stall Engagement,Lifejacket,false,,,92,,360,,High,Outdoor Weather Changes,Use Weather-resistant Displays,Partly Cloudy,Reflection+Synthetic,true,Completed
EVT027,GRP022,Home and Garden Show - Day 1,2026-05-28,Trade Show,Water Safety Awareness,LOC016,EDU004,English,Homeowners and Families,Stall Engagement,Lifejacket,false,,,58,,480,,Low,Low Foot Traffic,Improve Stall Visibility,,Reflection+Synthetic,true,Completed
EVT028,GRP022,Home and Garden Show - Day 2,2026-05-29,Trade Show,Water Safety Awareness,LOC016,EDU002,English,Homeowners and Families,Stall Engagement,Lifejacket,false,,,112,,480,,Medium,Passive Visitor Flow,Create a Free Lifejacket Hub,,Reflection+Synthetic,true,Completed
EVT029,GRP022,Home and Garden Show - Day 3,2026-05-30,Trade Show,Water Safety Awareness,LOC016,EDU003,English,Homeowners and Families,Stall Engagement,Lifejacket,false,,,188,,480,,High,Managing Peak Visitor Flow,Use Rotating Team Roles,,Reflection+Synthetic,true,Completed
EVT030,GRP022,Home and Garden Show - Day 4,2026-05-31,Trade Show,Water Safety Awareness,LOC016,EDU001,English,Homeowners and Families,Stall Engagement,Lifejacket,false,,,127,,420,,Medium,Neighbouring Stall Conflict,Adjust Stall Positioning,,Reflection+Synthetic,true,Completed
EVT031,GRP023,Pasifika Community Health Day,2026-06-06,Health Event,Water Safety Awareness,LOC013,EDU002,English/Samoan,Pasifika Families,Stall Engagement,Lifejacket,false,,,52,,300,,High,Limited Bilingual Resources,Expand Samoan Materials,,Reflection+Synthetic,true,Completed
EVT032,GRP024,Whau Eid Festival,2026-06-07,Festival,Water Safety Awareness,LOC018,EDU003,English/Multilingual,Muslim Families,Stall Engagement,Lifejacket,false,,,138,,360,,High,High Visitor Flow,Use Short Local Greetings,Clear,Reflection+Synthetic,true,Completed
EVT033,GRP025,Safer on the Water - Mangere Bridge,2026-06-13,Field Outreach,Boating Safety,LOC019,EDU005,English,Boat Users,Field Outreach,Lifejacket,false,,,0,0,90,,Low,Fog and No Boating Activity,Adjust Visit Timing,Fog,Reflection+Synthetic,true,Completed
EVT034,GRP025,Safer on the Water - Okahu Bay,2026-06-13,Field Outreach,Boating Safety,LOC020,EDU005,English,Boat Users,Field Outreach,Lifejacket,false,,,8,4,90,,Medium,Low Boating Traffic,Attend During Peak Hours,Overcast,Reflection+Synthetic,true,Completed
EVT035,GRP025,Safer on the Water - Takapuna,2026-06-13,Field Outreach,Boating Safety,LOC021,EDU001,English,Boat Users,Field Outreach,Lifejacket,false,,,14,7,120,,High,Short Public Conversations,Use a Consistent Opening Question,Clear,Reflection+Synthetic,true,Completed
EVT036,GRP026,Safer on the Water - Takapuna,2026-06-19,Field Outreach,Boating Safety,LOC021,EDU001,English,Boat Users,Field Outreach,Lifejacket,false,,,6,3,75,,Medium,Low Weekday Traffic,Reinforce Short-trip Risk,Clear,Reflection+Synthetic,true,Completed
EVT037,GRP026,Safer on the Water - Omaha,2026-06-19,Field Outreach,Boating Safety,LOC022,EDU001,English,Boat Users,Field Outreach,Lifejacket,false,,,4,2,75,,Medium,Low Weekday Traffic,Reinforce Short-trip Risk,Clear,Reflection+Synthetic,true,Completed
EVT038,GRP026,Safer on the Water - Okahu Bay,2026-06-19,Field Outreach,Boating Safety,LOC020,EDU005,English,Boat Users,Field Outreach,Lifejacket,false,,,5,2,75,,Medium,Short Public Conversations,Reinforce Short-trip Risk,Clear,Reflection+Synthetic,true,Completed
EVT039,GRP026,Safer on the Water - Mangere Bridge,2026-06-19,Field Outreach,Boating Safety,LOC019,EDU005,English,Boat Users,Field Outreach,Lifejacket,false,,,3,2,75,,Medium,Lifejacket Not Worn,Reinforce Short-trip Risk,Clear,Reflection+Synthetic,true,Completed
EVT040,GRP027,Pasifika Community Health Day,2026-06-20,Health Event,Water Safety Awareness,LOC013,EDU002,English/Samoan,Pasifika Families,Stall Engagement,Lifejacket,false,,,61,,300,,High,Different Language Needs,Use Community Translators,,Reflection+Synthetic,true,Completed
EVT041,GRP028,Dragon Boat Festival and Fun Sports Day,2026-06-21,Festival,Water Safety Awareness,LOC023,EDU001,English/Chinese,Chinese Families,Stall Engagement,Lifejacket,false,,,147,,360,,High,Stamp-only Visitors,Ask a Question Before Stamping,Clear,Reflection+Synthetic,true,Completed
EVT042,GRP029,Be Water Safe Presentation,2026-06-22,Presentation,Be Water Safe,LOC024,EDU001,English,Community Learners,Presentation,Lifejacket,true,29,26,26,,30,4.7,High,Limited Presentation Time,Prioritise Core Messages,,Reflection+Synthetic,true,Completed
EVT043,GRP030,Rural Wellbeing Expo,2026-06-27,Expo,Water Safety Awareness,LOC025,EDU001,English/Multilingual,Multicultural and Rural Families,Stall Engagement,Lifejacket,false,,,119,,360,,High,Stamp-only Visitors,Use a Short Opening Question,,Reflection+Synthetic,true,Completed
EVT044,GRP031,Pasifika Community Health Day,2026-07-04,Health Event,Water Safety Awareness,LOC013,EDU002,English/Samoan,Pasifika Families,Stall Engagement,Lifejacket,false,,,57,,300,,High,Limited Bilingual Resources,Expand Samoan Materials,,Reflection+Synthetic,true,Completed
EVT045,GRP032,University Orientation,2026-07-16,University Event,Water Safety Awareness,LOC004,EDU001,English,University Students,Stall Engagement,Lifejacket,false,,,126,,270,,High,Brief Student Interactions,Use Student-focused Scenarios,,Reflection+Synthetic,true,Completed
EVT046,GRP033,MBST Community Connect Event,2026-07-17,Community Event,Water Safety Awareness,LOC026,EDU002,English/Multilingual,Multicultural Families,Stall Engagement,Lifejacket,false,,,86,,300,,High,Competing Community Activities,Use More Interactive Activities,,Reflection+Synthetic,true,Completed
EVT047,GRP034,PRFSI Matariki Community Event,2026-07-26,Festival,Water Safety Awareness,LOC027,EDU005,English/Te Reo Maori,Whanau and Families,Stall Engagement,Lifejacket,false,,,108,,360,,High,Limited Te Reo Resources,Expand Bilingual Materials,Partly Cloudy,Reflection+Synthetic,true,Completed
